epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.048,3.23968,5.84627,1.62402,0.00304,0.15385,0.00155,0.00055,2.09133,30.6135,2.23923,0.00036,0.00036,0.00036
2,467.914,2.46852,2.85412,1.61797,0.02834,0.15385,0.01909,0.00484,2.31314,5.67071,2.43003,0.000725348,0.000725348,0.000725348
3,699.27,2.44251,3.33564,1.55319,0.04345,0.38462,0.02496,0.00987,1.79608,4.55957,2.06855,0.00107565,0.00107565,0.00107565
4,924.883,2.41292,2.78143,1.52638,0.06172,0.07692,0.00886,0.00331,2.26837,10.7152,2.76203,0.0014109,0.0014109,0.0014109
5,1151.01,2.29057,2.71413,1.66967,0.12275,0.30769,0.06657,0.02113,2.31091,8.47393,3.69533,0.0017311,0.0017311,0.0017311
6,1374.57,2.31444,2.89151,1.64262,0.07488,0.15385,0.04874,0.0249,2.69163,60.4585,4.80315,0.001802,0.001802,0.001802
7,1604.28,2.7591,3.19854,1.66549,0.09172,0.23077,0.03614,0.01938,2.28909,6.32715,3.36105,0.0017624,0.0017624,0.0017624
8,1829.76,2.70084,2.90096,1.58643,0.00111,0.07692,0.00088,0.00053,3.72493,6.51346,6.59888,0.0017228,0.0017228,0.0017228
9,2055.89,2.62117,2.76568,1.51612,0.00222,0.15385,0.00133,0.00019,4.17062,11.7615,12.1198,0.0016832,0.0016832,0.0016832
10,2281.17,2.21027,2.55168,1.64053,0,0,0,0,3.69187,21.7534,6.0434,0.0016436,0.0016436,0.0016436
11,2502.3,2.19561,2.38593,1.7095,0.00111,0.07692,0.00063,6e-05,3.47466,105.632,3.9678,0.001604,0.001604,0.001604
12,2726.43,2.30754,2.45791,1.58083,0.02526,0.15385,0.00922,0.00499,2.77609,55.4787,2.70112,0.0015644,0.0015644,0.0015644
13,2949.95,2.31629,2.49758,1.5464,0.07332,0.46154,0.05959,0.02924,2.48143,52.4286,5.55866,0.0015248,0.0015248,0.0015248
14,3170.48,2.43651,2.45739,1.48582,0.14104,0.23077,0.06706,0.03425,2.52168,5.93433,3.27549,0.0014852,0.0014852,0.0014852
15,3389.01,2.384,2.4177,1.49035,0.04513,0.23077,0.0274,0.01256,2.0525,4.05785,2.54092,0.0014456,0.0014456,0.0014456
16,3623.74,2.00496,2.2495,1.66667,0.03868,0.30769,0.03088,0.01345,1.86039,3.9763,2.35413,0.001406,0.001406,0.001406
17,3848.95,2.49698,2.68589,1.53084,0.01072,0.69231,0.01168,0.00423,1.78168,4.76449,2.23859,0.0013664,0.0013664,0.0013664
18,4079.71,2.22152,2.55018,1.58893,0.026,0.53846,0.01935,0.00879,1.91241,3.24558,2.5055,0.0013268,0.0013268,0.0013268
19,4362.7,2.62154,2.63902,1.43049,0.0204,0.15385,0.01402,0.00712,2.38876,3.3325,2.73898,0.0012872,0.0012872,0.0012872
20,4608.13,1.81462,2.28654,1.63947,0.0167,0.23077,0.01013,0.0045,3.03913,3.7653,3.28423,0.0012476,0.0012476,0.0012476
21,4836.37,2.02853,2.42362,1.51383,0.02688,0.23077,0.01209,0.00388,3.13317,46.7065,5.39137,0.001208,0.001208,0.001208
22,5066.98,2.12842,2.35642,1.56,0.01777,0.15385,0.0174,0.0054,2.7846,5.48641,3.49692,0.0011684,0.0011684,0.0011684
23,5314.04,2.25632,2.39983,1.43916,0.01912,0.30769,0.01487,0.00402,2.44142,5.26101,2.85462,0.0011288,0.0011288,0.0011288
24,5551.96,1.9823,2.23586,1.51386,0.03425,0.46154,0.01919,0.00679,2.14348,10.8969,2.53861,0.0010892,0.0010892,0.0010892
25,5779.97,2.36829,2.34204,1.36776,0.02559,0.30769,0.01831,0.00771,1.75532,8.94235,2.18247,0.0010496,0.0010496,0.0010496
26,6015.66,1.77292,2.0459,1.59564,0.02333,0.46154,0.0192,0.00911,1.58999,3.61499,2.09101,0.00101,0.00101,0.00101
27,6241.43,2.17883,2.24371,1.40594,0.01989,0.30769,0.01565,0.00529,1.87929,4.43885,2.32369,0.0009704,0.0009704,0.0009704
28,6467.46,2.2543,2.75848,1.466,0.01456,0.38462,0.01972,0.00646,1.92429,3.51801,2.26072,0.0009308,0.0009308,0.0009308
29,6692.5,1.90477,2.26662,1.53148,0.01796,0.46154,0.01996,0.00738,2.00439,3.88744,2.33852,0.0008912,0.0008912,0.0008912
30,6916.98,2.29072,2.34583,1.38308,0.01363,0.30769,0.01565,0.00629,1.7406,4.02312,2.09464,0.0008516,0.0008516,0.0008516
31,7146.7,2.02145,2.12926,1.47109,0.0085,0.38462,0.00995,0.00455,1.8834,4.33188,2.24481,0.000812,0.000812,0.000812
32,7375.01,2.28188,2.35321,1.42737,0.00667,0.46154,0.0085,0.00296,2.37162,4.00851,2.61528,0.0007724,0.0007724,0.0007724
33,7600.71,1.96991,2.17868,1.4855,0.00667,0.46154,0.00613,0.00142,2.37031,3.7116,2.62906,0.0007328,0.0007328,0.0007328
34,7822.44,2.16195,2.2952,1.44706,0.00222,0.15385,0.00173,0.00042,1.97884,3.75276,2.47237,0.0006932,0.0006932,0.0006932
35,8047.1,1.96584,2.17238,1.45764,0.01565,0.15385,0.01093,0.00228,1.76884,3.46411,2.18561,0.0006536,0.0006536,0.0006536
36,8276.78,2.10807,2.40441,1.48087,0.0231,0.30769,0.01783,0.00402,1.77215,3.19859,2.15357,0.000614,0.000614,0.000614
37,8508.23,2.1837,2.39496,1.36972,0.01798,0.38462,0.03015,0.00776,1.78439,3.09456,2.14041,0.0005744,0.0005744,0.0005744
38,8735.68,1.965,2.24163,1.4533,0.01331,0.46154,0.03525,0.00999,1.79298,3.05051,2.10631,0.0005348,0.0005348,0.0005348
39,8964.1,1.9563,2.21754,1.42184,0.01347,0.61538,0.05191,0.01357,1.73515,2.97648,2.05515,0.0004952,0.0004952,0.0004952
40,9202.23,2.10571,2.223,1.39431,0.00889,0.61538,0.04083,0.00948,1.72609,2.98273,1.9434,0.0004556,0.0004556,0.0004556
41,9436.33,2.60512,2.51218,1.26216,0.00889,0.61538,0.0341,0.00859,1.70877,3.07927,1.94235,0.000416,0.000416,0.000416
42,9659.2,2.64909,2.8334,1.2564,0.00889,0.61538,0.02244,0.00549,1.71423,3.27735,1.99785,0.0003764,0.0003764,0.0003764
43,9880.7,2.38865,2.23222,1.26504,0.00721,0.46154,0.0132,0.00459,1.70482,3.31681,1.98817,0.0003368,0.0003368,0.0003368
44,10103.7,2.62937,2.41509,1.20667,0.00889,0.61538,0.01295,0.00334,1.77925,3.34279,2.0857,0.0002972,0.0002972,0.0002972
45,10322.3,2.53072,2.27535,1.18515,0.00778,0.53846,0.00916,0.00272,1.88121,3.29353,2.17098,0.0002576,0.0002576,0.0002576
46,10541.4,2.56779,2.62488,1.23932,0.02019,0.30769,0.01699,0.00412,1.83414,3.28065,2.06041,0.000218,0.000218,0.000218
47,10760.7,2.42218,2.18847,1.23325,0.03037,0.38462,0.02295,0.00487,1.86998,3.23688,2.10762,0.0001784,0.0001784,0.0001784
48,10978.8,2.60852,2.71973,1.21769,0.02591,0.38462,0.02441,0.00587,1.84288,3.2368,2.07386,0.0001388,0.0001388,0.0001388
49,11198.3,2.61808,2.49259,1.21809,0.02039,0.46154,0.0247,0.00577,1.8853,3.2131,2.16504,9.92e-05,9.92e-05,9.92e-05
50,11419,2.46334,2.28038,1.26842,0.01925,0.53846,0.0248,0.00575,1.87901,3.20667,2.15437,5.96e-05,5.96e-05,5.96e-05
