epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.054,2.44692,3.14001,1.93893,0.00719,0.07692,0.00193,0.00066,2.40276,18.5211,2.44756,0.00036,0.00036,0.00036
2,567.038,2.70331,3.13297,1.68531,0.00699,0.46154,0.00634,0.00289,1.85974,28.7038,2.16251,0.000725348,0.000725348,0.000725348
3,847.351,2.76994,3.0862,1.55677,0.00222,0.15385,0.00129,0.00032,2.98448,20.217,2.99834,0.00107565,0.00107565,0.00107565
4,1144.09,2.59858,2.6807,1.61918,0,0,0,0,3.84157,23.3475,3.94032,0.0014109,0.0014109,0.0014109
5,1430.06,2.6963,3.01152,1.61082,0.01117,0.15385,0.00712,0.00338,2.83666,9.30977,3.12874,0.0017311,0.0017311,0.0017311
6,1710.71,2.46813,2.74012,1.72244,0.01083,0.46154,0.00731,0.00417,2.47658,7.12686,2.8884,0.001802,0.001802,0.001802
7,2002.87,2.86908,2.83777,1.56852,0.00556,0.38462,0.0069,0.00338,2.54246,5.48599,3.07313,0.0017624,0.0017624,0.0017624
8,2306.23,2.70939,2.61234,1.7088,0.00222,0.15385,0.00158,0.00029,3.41618,4.89168,3.48193,0.0017228,0.0017228,0.0017228
9,2575.63,2.37883,2.49677,1.82075,0,0,0,0,3.3641,6.06471,3.71163,0.0016832,0.0016832,0.0016832
10,2846.95,2.55922,2.80605,1.76269,0.00111,0.07692,0.00081,0.00016,3.21704,5.29708,3.6922,0.0016436,0.0016436,0.0016436
11,3139.37,2.64634,2.82341,1.78376,0.15311,0.07692,0.02824,0.00598,2.79608,5.55277,4.43998,0.001604,0.001604,0.001604
12,3456.48,2.41959,2.61725,1.80235,0.01169,0.07692,0.00386,0.00094,3.37773,6.31304,4.70411,0.0015644,0.0015644,0.0015644
13,3775.72,2.50866,2.56899,1.73411,0.00509,0.07692,0.00103,0.00068,2.96499,24.7999,4.0662,0.0015248,0.0015248,0.0015248
14,4099.62,2.2543,2.4952,1.82746,0.00237,0.07692,0.00074,0.00015,3.39256,92.4626,3.72725,0.0014852,0.0014852,0.0014852
15,4394.35,2.27223,2.42365,1.85918,0.00461,0.07692,0.00252,0.00072,3.25328,10.9832,4.20273,0.0014456,0.0014456,0.0014456
16,4683.61,2.19132,2.43482,1.852,0.00222,0.15385,0.00132,0.00032,3.11019,8.11474,3.42464,0.001406,0.001406,0.001406
17,4958.75,2.19267,2.42708,1.82735,0.00222,0.15385,0.0013,0.00019,3.50099,21.6558,3.81414,0.0013664,0.0013664,0.0013664
18,5344.7,2.3743,2.52433,1.72438,0.025,0.15385,0.01246,0.00183,3.9164,4.73951,4.37526,0.0013268,0.0013268,0.0013268
19,5660.72,2.44176,2.53222,1.70392,0.00444,0.30769,0.00327,0.00033,3.50835,4.75482,3.64533,0.0012872,0.0012872,0.0012872
20,5933.83,2.28906,2.44564,1.85999,0.00907,0.38462,0.01074,0.00185,2.81809,5.2588,3.24369,0.0012476,0.0012476,0.0012476
21,6280.44,2.28162,3.12507,1.71582,0.00667,0.46154,0.01201,0.00396,2.51359,5.15736,2.8732,0.001208,0.001208,0.001208
22,6613.38,2.53697,2.65395,1.55996,0.00556,0.38462,0.0059,0.00175,2.90797,5.90927,3.13284,0.0011684,0.0011684,0.0011684
23,6881.31,2.41797,2.68563,1.65017,0.00333,0.23077,0.00223,0.00066,3.11915,6.94573,3.16516,0.0011288,0.0011288,0.0011288
24,7149.55,2.4938,2.64548,1.65224,0.00222,0.15385,0.00145,0.00042,3.08926,7.60499,3.00941,0.0010892,0.0010892,0.0010892
25,7415.78,2.27085,2.51685,1.72122,0.00222,0.15385,0.00159,0.00038,2.64087,6.61072,2.81451,0.0010496,0.0010496,0.0010496
26,7681,2.09294,2.31529,1.767,0.00222,0.15385,0.00185,0.00043,2.79137,5.59319,2.91464,0.00101,0.00101,0.00101
27,7946.56,2.15542,2.38301,1.76734,0.00432,0.15385,0.00501,0.00165,2.51008,5.17435,2.99766,0.0009704,0.0009704,0.0009704
28,8211.11,2.40526,2.63552,1.5899,0.0101,0.15385,0.00746,0.00328,2.63316,5.24713,3.13749,0.0009308,0.0009308,0.0009308
29,8476.39,2.40159,2.4809,1.64936,0.00345,0.15385,0.00482,0.00229,2.69581,3.48826,3.35934,0.0008912,0.0008912,0.0008912
30,8741.22,2.48014,2.50142,1.62359,0.00444,0.30769,0.00464,0.00194,2.64723,3.5792,3.3279,0.0008516,0.0008516,0.0008516
31,9016.95,2.21273,2.35997,1.75137,0.00667,0.46154,0.00726,0.00286,2.16504,4.08418,2.58707,0.000812,0.000812,0.000812
32,9279.63,2.52732,2.57037,1.52775,0.01933,0.23077,0.01619,0.00508,1.96716,4.20815,2.35707,0.0007724,0.0007724,0.0007724
33,9550.23,2.25694,2.44065,1.62219,0.01603,0.30769,0.01892,0.00595,1.85985,4.52783,2.24262,0.0007328,0.0007328,0.0007328
34,9819.78,2.19369,2.32236,1.6214,0.01744,0.61538,0.0272,0.00653,1.68497,4.35889,2.16771,0.0006932,0.0006932,0.0006932
35,10102.4,2.36107,2.42429,1.57181,0.0199,0.61538,0.02179,0.0053,1.70408,4.33655,2.1698,0.0006536,0.0006536,0.0006536
36,10505.2,2.16618,2.31933,1.62802,0.01748,0.38462,0.02293,0.00522,1.69224,4.25658,2.12639,0.000614,0.000614,0.000614
37,10832.1,2.04496,2.33176,1.73336,0.0176,0.46154,0.02367,0.00506,1.67072,4.30917,2.12085,0.0005744,0.0005744,0.0005744
38,11125.1,2.60689,2.55871,1.52711,0.01778,0.53846,0.01952,0.00572,1.74254,4.37378,2.13299,0.0005348,0.0005348,0.0005348
39,11512.3,2.25749,2.3684,1.55464,0.0154,0.61538,0.01338,0.00451,1.81437,4.25655,2.16921,0.0004952,0.0004952,0.0004952
